conversation_id,subject,true_rating,predicted_rating,final_confidence,absolute_error,conversation_length,terminated_reason,confidence_step_1,confidence_step_2,confidence_step_3,confidence_step_4,confidence_step_5
0dd731f2-25dc-4b7f-9e49-5bf5e5ddf3d8,web_development,3.6871632754695343,5.0,0.5,1.3128367245304657,5,max_exchanges,0.2,0.72,0.51,0.61,0.67
26e306fd-d753-48f8-9eae-b51ae21f80d1,python_programming,0.021832402226590553,5.0,0.5,4.9781675977734094,5,max_exchanges,0.2,0.32,0.4,0.47,0.62
2bf7717c-0375-4f9c-b963-9d173b4bc611,machine_learning,0.5,5.0,0.5,4.5,5,max_exchanges,0.2,0.47,0.42,0.34,0.71
2d2eb816-a73c-48f6-80ad-d0175ec8b2bc,data_science,4.3902965295742575,5.0,0.5,0.6097034704257425,5,max_exchanges,0.2,0.33,0.74,0.69,0.61
2de6792a-4ebf-4301-aa32-2a31cdbb45b2,python_programming,0.8160350119764254,5.0,0.5,4.1839649880235745,5,max_exchanges,0.2,0.65,0.32,0.67,0.36
3b992f3c-8e69-4d30-9bb4-977491eee142,data_science,6.431127700800055,5.0,0.5,1.4311277008000554,5,max_exchanges,0.2,0.42,0.49,0.43,0.62
40ff3697-dd82-4ed8-831b-d7fe4489dbc0,python_programming,4.034994709220829,5.0,0.5,0.9650052907791711,5,max_exchanges,0.2,0.51,0.6,0.51,0.52
457c70b6-a2f3-4546-8029-5e62cb27f6fc,machine_learning,8.402743001752224,5.0,0.5,3.402743001752224,5,max_exchanges,0.2,0.51,0.39,0.35,0.38
5ebc0475-8c9d-42fc-b669-7b1485661dca,python_programming,9.5,5.0,0.5,4.5,5,max_exchanges,0.2,0.52,0.33,0.64,0.73
699c159d-3c51-45ea-849e-695da81aab12,python_programming,0.8723301067910817,5.0,0.5,4.127669893208918,5,max_exchanges,0.2,0.78,0.62,0.7,0.64
6ff99937-8e77-4726-b923-a664f4ede0f9,python_programming,9.5,5.0,0.5,4.5,5,max_exchanges,0.2,0.73,0.76,0.63,0.58
72cb86d5-cbf9-4a35-ac58-81911bee75b5,machine_learning,0.5,5.0,0.5,4.5,5,max_exchanges,0.2,0.36,0.59,0.5,0.55
7b07162d-3fd6-42c5-b22f-f1252c35b493,python_programming,0.5,5.0,0.5,4.5,5,max_exchanges,0.2,0.44,0.32,0.35,0.45
7e19010e-cdfb-49d8-9b71-791fe0251448,python_programming,0.5,5.0,0.5,4.5,5,max_exchanges,0.2,0.71,0.36,0.78,0.64
803cbc28-0aee-4615-bcc3-c75542b4d355,python_programming,1.9224479176647373,5.0,0.5,3.077552082335263,5,max_exchanges,0.2,0.67,0.57,0.62,0.46
85f2cc65-a1ce-4931-8323-81a605e39dfb,python_programming,0.0,5.0,0.5,5.0,5,max_exchanges,0.2,0.36,0.69,0.51,0.58
8a52ce60-96d2-4e9f-b69d-deb202863d17,python_programming,4.010380462365289,5.0,0.5,0.9896195376347112,3,confidence_threshold,0.2,0.34,0.8,,
8c51c28d-23b1-475f-82f8-7f924ac31fca,python_programming,0.4925076132607818,5.0,0.5,4.5074923867392185,5,max_exchanges,0.2,0.54,0.75,0.32,0.4
97d3267c-3061-4d7d-9208-eb5c34bf569f,python_programming,0.02941963224668953,5.0,0.5,4.9705803677533105,5,max_exchanges,0.2,0.74,0.39,0.52,0.54
a207b457-5323-4dce-823b-a22fa638a78d,python_programming,3.010057429308939,5.0,0.5,1.9899425706910612,5,max_exchanges,0.2,0.37,0.64,0.35,0.67
a6d11dcb-eaf7-49eb-a10e-fd94e932eaed,python_programming,5.0,5.0,0.5,0.0,5,confidence_threshold,0.2,0.7,0.63,0.34,0.8
aa12ae10-93d7-45d0-b4cc-cc97054fde92,python_programming,2.75,5.0,0.5,2.25,5,max_exchanges,0.2,0.68,0.51,0.76,0.31
b8dd99e7-fbf8-4cc1-ba73-68c13a6256c8,machine_learning,6.521585520114112,5.0,0.5,1.5215855201141117,5,max_exchanges,0.2,0.47,0.4,0.36,0.66
